# n values
31 0.0322580645 4.9541963104 66.8131723540 278.3882181415 5.7622814093 153.5800856220 133143986176.0000000000 96100.0000000000 961.0000000000 59582.0000000000 24462373.9619310871 617673396283947.0000000000
32 0.0312500000 5.0000000000 67.8822509939 282.8427124746 5.8563427838 160.0000000000 137438953472.0000000000 102400.0000000000 1024.0000000000 65536.0000000000 33554432.0000000000 1853020188851841.0000000000
33 0.0303030303 5.0443941194 68.9347517585 287.2281323269 5.9489745273 166.4650059388 141733920768.0000000000 108900.0000000000 1089.0000000000 71874.0000000000 45707007.5120690539 5559060566555523.0000000000
34 0.0294117647 5.0874628413 69.9714227381 291.5475947423 6.0402407327 172.9737366025 146028888064.0000000000 115600.0000000000 1156.0000000000 78608.0000000000 61850338.7554806918 16677181699666570.0000000000
35 0.0285714286 5.1292830169 70.9929573972 295.8039891550 6.1302008307 179.5249055931 150323855360.0000000000 122500.0000000000 1225.0000000000 85750.0000000000 83169099.0476396084 50031545098999704.0000000000
36 0.0277777778 5.1699250014 72.0000000000 300.0000000000 6.2189100521 186.1173000519 154618822656.0000000000 129600.0000000000 1296.0000000000 93312.0000000000 111164778.8964311332 150094635296999136.0000000000
37 0.0270270270 5.2094533656 72.9931503636 304.1381265149 6.3064198317 192.7497745283 158913789952.0000000000 136900.0000000000 1369.0000000000 101306.0000000000 147731718.3664309680 450283905890997376.0000000000
38 0.0263157895 5.2479275134 73.9729680356 308.2207001484 6.3927781647 199.4212455109 163208757248.0000000000 144400.0000000000 1444.0000000000 109744.0000000000 195249442.2624593675 1350851717672992000.0000000000
39 0.0256410256 5.2854022189 74.9399759808 312.2498999199 6.4780299205 206.1306865356 167503724544.0000000000 152100.0000000000 1521.0000000000 118638.0000000000 256694405.9392695725 4052555153018976256.0000000000
40 0.0250000000 5.3219280949 75.8946638440 316.2277660168 6.5622171209 212.8771237955 171798691840.0000000000 160000.0000000000 1600.0000000000 128000.0000000000 335774783.3386664391 12157665459056928768.0000000000
41 0.0243902439 5.3575520046 76.8374908492 320.1562118716 6.6453791868 219.6596321893 176093659136.0000000000 168100.0000000000 1681.0000000000 137842.0000000000 437092530.2135859132 36472996377170788352.0000000000
42 0.0238095238 5.3923174228 77.7688883809 324.0370349204 6.7275531589 226.4773317567 180388626432.0000000000 176400.0000000000 1764.0000000000 148176.0000000000 566337644.4445298910 109418989131512365056.0000000000
43 0.0232558140 5.4262647547 78.6892622916 327.8719262151 6.8087738939 233.3293844522 184683593728.0000000000 184900.0000000000 1849.0000000000 159014.0000000000 730520333.0304946899 328256967394537046016.0000000000
44 0.0227272727 5.4594316186 79.5989949685 331.6624790355 6.8890742410 240.2149912200 188978561024.0000000000 193600.0000000000 1936.0000000000 170368.0000000000 938247694.1159577370 984770902183611203584.0000000000
45 0.0222222222 5.4918530963 80.4984471900 335.4101966250 6.9684852004 247.1333893348 193273528320.0000000000 202500.0000000000 2025.0000000000 182250.0000000000 1200052546.0145704746 2954312706550833610752.0000000000
46 0.0217391304 5.5235619561 81.3879597975 339.1164991563 7.0470360657 254.0838499786 197568495616.0000000000 211600.0000000000 2116.0000000000 194672.0000000000 1528783198.7971394062 8862938119652501356544.0000000000
47 0.0212765957 5.5545888517 82.2678552048 342.7827300201 7.1247545531 261.0656760288 201863462912.0000000000 220900.0000000000 2209.0000000000 207646.0000000000 1940064284.4208979607 26588814358957501972480.0000000000
48 0.0208333333 5.5849625007 83.1384387633 346.4101615138 7.2016669176 268.0782000346 206158430208.0000000000 230400.0000000000 2304.0000000000 221184.0000000000 2452840257.1374368668 79766443076872514306048.0000000000
